124,Charlie Constable,Cats,484000,170000,82,48.2,83.43,Midfield,1,1,0,0,0,0
129,Jake Melksham,Demons,415000,510000,81,15.9,74.75,Forward,1,0,1,0,0,0
129,Kyle Langford,Bombers,655000,582000,81,13.9,69.39,Forward,1,0,1,0,0,0
129,Sam Petrevski-Seton,Blues,516000,508000,81,15.9,77.73,Defender,1,0,0,1,0,0
129,Trent Dumont,Kangaroos,748000,598000,81,13.5,88.1,Midfield,1,1,0,0,0,0
129,Sam Menegola,Cats,783000,716000,81,11.3,76.33,Midfield,1,1,0,0,0,0
129,Dustin Martin,Tigers,713000,674000,81,12,95.61,Forward,1,0,1,0,0,0
129,Brett Deledio,Giants,499000,559000,81,14.5,72,Forward,1,0,1,0,0,0
136,Dion Prestia,Tigers,645000,618000,80,12.9,100.24,Midfield,1,1,0,0,0,0
136,Rhys Mathieson,Lions,437000,447000,80,17.9,56.56,Forward,1,0,1,0,0,0
138,Rory Lobb,Dockers,542000,485000,79,16.3,79.33,Ruck,1,0,0,0,1,0
138,Charlie Cameron,Lions,518000,472000,79,16.7,65.79,Forward,1,0,1,0,0,0
138,Jamie Elliott,Magpies,545000,385000,79,20.5,69.75,Forward,1,0,1,0,0,0
138,Aaron Naughton,Bulldogs,371000,377000,79,21,63.09,Forward,1,0,1,0,0,0
138,Bailey Banfield,Dockers,369000,466000,79,17,55.14,Forward,1,0,1,0,0,0
138,Matthew Suckling,Bulldogs,401000,639000,79,12.4,84.63,Defender,1,0,0,1,0,0
138,Josh Dunkley,Bulldogs,741000,695000,79,11.4,110,Forward,1,0,1,0,0,0
138,Bryce Gibbs,Crows,487000,753000,79,10.5,80.83,Defender,1,0,0,1,0,0
138,Shannon Hurn,Eagles,617000,645000,79,12.2,91.29,Defender,1,0,0,1,0,0
138,Robbie Gray,Power,583000,612000,79,12.9,81.21,Forward,1,0,1,0,0,0
138,Josh Bruce,Saints,371000,379000,79,20.8,58.41,Forward,1,0,1,0,0,0
149,Alex Sexton,Suns,473000,447000,78,17.4,58.64,Forward,1,0,1,0,0,0
149,Jack Crisp,Magpies,726000,635000,78,12.3,97.67,Defender,1,0,0,1,0,0
149,Nathan Jones,Demons,528000,632000,78,12.3,73.64,Forward,1,0,1,0,0,0
152,Harry McKay,Blues,459000,452000,77,17,61.5,Forward,1,0,1,0,0,0
152,Alex Keath,Crows,392000,359000,77,21.4,67.11,Defender,1,0,0,1,0,0
152,Heath Shaw,Giants,460000,627000,77,12.3,83.08,Defender,1,0,0,1,0,0
155,Tim Membrey,Saints,492000,499000,76,15.2,70.5,Forward,1,0,1,0,0,0
155,David Mirra,Hawks,462000,384000,76,19.8,0,Defender,1,0,0,1,0,0
155,Tom Hawkins,Cats,676000,639000,76,11.9,70.21,Forward,1,0,1,0,0,0
155,Adam Saad,Bombers,632000,429000,76,17.7,67.59,Defender,1,0,0,1,0,0
159,Shaun Atley,Kangaroos,520000,446000,75,16.8,66.76,Defender,1,0,0,1,0,0
159,Dylan Shiel,Bombers,780000,647000,75,11.6,98.05,Midfield,1,1,0,0,0,0
159,Jack Martin,Suns,608000,608000,75,12.3,83.44,Forward,1,0,1,0,0,0
159,Brodie Smith,Crows,652000,439000,75,17.1,87.05,Midfield,1,1,0,0,0,0
159,Caleb Daniel,Bulldogs,676000,565000,75,13.3,93.76,Defender,1,0,0,1,0,0
164,Jake Kelly,Crows,378000,464000,74,15.9,67,Defender,1,0,0,1,0,0
165,Clayton Oliver,Demons,875000,792000,73,9.2,105.86,Midfield,1,1,0,0,0,0
165,Liam Shiels,Hawks,647000,704000,73,10.4,95.37,Midfield,1,1,0,0,0,0
165,Jasper Pittard,Kangaroos,490000,515000,73,14.2,71.45,Defender,1,0,0,0,0,0
165,David Swallow,Suns,682000,614000,73,11.9,87.86,Midfield,1,1,0,0,0,0
165,Sam Jacobs,Crows,534000,591000,73,12.4,80.4,Ruck,1,0,0,0,1,0
165,Callum Mills,Swans,705000,522000,73,14,75.32,Defender,1,0,0,1,0,0
171,Riley Bonner,Power,496000,438000,72,16.4,67,Defender,1,0,0,1,0,0
