Brayden Cook,,222000,Midfield,
Jy Farrar,,222000,Forward,
Ryan Garthwaite,,222000,Defender,
Jeremy Sharp,,221000,Midfield,
Connor Idun,,221000,Defender,
Matthew McLeod-Allison,,220000,Forward,
Matthew Ling,,219000,Defender,
Nathan O'Driscoll,,218000,Midfield,
Sam Berry,,216000,Midfield,
Tom Hutchesson,,215000,Midfield,
Seamus Mitchell,,214000,Forward,
Caleb Poulter,,212000,Midfield,
Liam McMahon,,210000,Forward,
Nathan Murphy,,208000,Defender,
Jack Hombsch,,208000,Defender,
Keegan Brooksby,,208000,Ruck,
Errol Gulden,,208000,Midfield,
Jordon Butts,,207000,Defender,
Shannon Neale,,206000,Ruck,
Atu Bosenavulagi,,206000,Forward,
Fraser Rosman,,204000,Midfield,
Sam Philp,,203000,Forward,
Connor Downie,,202000,Midfield,
Josh Morris,,200000,Forward,
Toby Bedford,,200000,Forward,
Charlie Lazzaro,,200000,Midfield,
Corey Durdin,,198000,Midfield,
James Rowe,,196000,Forward,
Chad Warner,,196000,Forward,
Mark Keane,,194000,Defender,
Joshua Eyre,,194000,Defender,
Ben Jarvis,,194000,Defender,
Thomson Dow,,192000,Midfield,
Samson Ryan,,192000,Ruck,
Jonathon Patton,,191000,Forward,
Jack Carroll,,190000,Midfield,
Chris Burgess,,190000,Defender,
Connor Ballenden,,189000,Forward,
Ned Cahill,,189000,Forward,
Joel Smith,,188000,Defender,
Phoenix Spicer,,188000,Midfield,
Deven Robertson,,186000,Midfield,
Harry Sharp,,186000,Defender,
Beau McCreery,,184000,Forward,
Thomas Highmore,,182000,Defender,
Tyler Brockman,,180000,Midfield,
Nick Stevens,,178000,Defender,
Henry Smith,,176000,Ruck,
Ollie Lord,,174000,Forward,
Will Kelly,,172000,Forward,
Max Lynch,,172000,Ruck,
Brandon Walker,,172000,Defender,
Josh Worrell,,170000,Defender,
Ronin O'Connor,,170000,Midfield,
Lachlan Gollant,,170000,Defender,
Tariek Newchurch,,170000,Midfield,
James Borlase,,170000,Defender,
James Madden,,170000,Defender,
Tom Fullarton,,170000,Ruck,
Connor McFadyen,,170000,Forward,
Tom Joyce,,170000,Midfield,
Ely Smith,,170000,Midfield,
Brock Smith,,170000,Defender,
Jaxon Prior,,170000,Defender,
Carter Michael,,170000,Midfield,
Deividas Uosis,,170000,Defender,
Matthew Owies,,170000,Forward,
Brodie Kemp,,170000,Midfield,
Sam Ramsay,,170000,Midfield,
Josh Honey,,170000,Midfield,
Luke Parks,,170000,Defender,
Anton Tohill,,170000,Forward,
Jay Rantall,,170000,Midfield,
Trent Bianco,,170000,Defender,
Tom Wilson,,170000,Forward,
Jack Ginnivan,,170000,Midfield,
Isaac Chugg,,170000,Defender,
Harrison Jones,,170000,Forward,
Nick Bryan,,170000,Ruck,
Lachlan Johnson,,170000,Midfield,
Cian McBride,,170000,Defender,
Ross McQuillan,,170000,Defender,
Tom Hird,,170000,Midfield,
Cody Brand,,170000,Defender,
Luke Valente,,170000,Midfield,
Lloyd Meek,,170000,Ruck,
Leno Thomas,,170000,Defender,
Joel Western,,170000,Midfield,
Josh Treacy,,170000,Ruck,
Rory Thompson,,170000,Defender,
Jez McLennan,,170000,Defender,
Matt Conroy,,170000,Ruck,
Malcolm Rosas,,170000,Forward,
Patrick Murtagh,,170000,Forward,
Luke Towey,,170000,Defender,
Hawego Paul Oea,,170000,Midfield,
Alex Davies,,170000,Midfield,
Joel Jeffrey,,170000,Defender,
Aiden Fyfe,,170000,Defender,
Rhys Nicholls,,170000,Defender,
Stefan Okunbor,,170000,Defender,
Nathan Kreuger,,170000,Forward,
Cooper Stephens,,170000,Midfield,
Sam De Koning,,170000,Defender,
Francis Evans,,170000,Forward,
Cameron Taheny,,170000,Forward,
Oscar Brownless,,170000,Forward,
Paul Tsapatolis,,170000,Ruck,
Kieren Briggs,,170000,Defender,
Callum M. Brown,,170000,Defender,
Nick Shipley,,170000,Midfield,
Matt Flynn,,170000,Ruck,
Will Shaw,,170000,Defender,
Cameron Fleeton,,170000,Defender,
Jacob Wehr,,170000,Defender,
Zach Sproule,,170000,Forward,
Jacob Koschitzke,,170000,Defender,
Ned Reeves,,170000,Ruck,
Emerson Jeka,,170000,Forward,
Harry Pepper,,170000,Defender,
Jack Saunders,,170000,Midfield,
Austin Bradtke,,170000,Ruck,
James Jordon,,170000,Midfield,
Aaron Nietschke,,170000,Midfield,
Charlie Comben,,170000,Ruck,
Matt McGuinness,,170000,Defender,
Eddie Ford,,170000,Forward,
Patrick Walker,,170000,Defender,
Martin Frederick,,170000,Defender,
Sam Hayes,,170000,Ruck,
Miles Bergman,,170000,Forward,
Dylan Williams,,170000,Midfield,
Jackson Mead,,170000,Midfield,
Jake Pasini,,170000,Defender,
Trent Burgoyne,,170000,Midfield,
Tyson Goldsack,,170000,Defender,
Taj Schofield,,170000,Midfield,
Ben Miller,,170000,Defender,
Noah Cumberland,,170000,Midfield,
Will Martyn,,170000,Midfield,
Hugo Ralphsmith,,170000,Midfield,
Bigoa Nyuon,,170000,Defender,
Maurice Rioli,,170000,Midfield,
Mate Colina,,170000,Ruck,
Riley Collier-Dawkins,,170000,Midfield,
Dylan Roberton,,170000,Defender,
Oscar Clavarino,,170000,Defender,
Sam Alabakis,,170000,Ruck,
Ryan Byrnes,,170000,Midfield,
Leo Connolly,,170000,Defender,
Joel Amartey,,170000,Ruck,
Will Gould,,170000,Defender,
Barry O'Connor,,170000,Defender,
Marc Sheather,,170000,Forward,
Malachy Carruthers,,170000,Defender,
Buku Khamis,,170000,Defender,
Riley Garcia,,170000,Midfield,
Dominic Bedendo,,170000,Forward,
Lachlan McNeil,,170000,Midfield,
Jordon Sweet,,170000,Ruck,
Luke Foley,,170000,Defender,
Harry Edwards,,170000,Defender,
Callum Jamieson,,170000,Ruck,
Ben Johnson,,170000,Defender,
Luke Edwards,,170000,Midfield,
Isiah Winder,,170000,Defender,
Zane Trew,,170000,Midfield,
