name,value,price,position,club
Cameron McCarthy,56.33,356000,,Fremantle Dockers
David Astbury,56.32,423000,,Richmond Tigers
Mitchell Crowden,56.2,298000,,Fremantle Dockers
Connor Menadue,56.17,338000,,Richmond Tigers
Jacob Weitering,56.15,403000,,Carlton Blues
Tim Smith,56,,,Melbourne Demons
Joshua Walker,55.91,461000,,Brisbane Lions
James Rose,55.8,223000,,Sydney Swans
Jordan Murdoch,55.79,510000,,Gold Coast Suns
Ryan Lester,55.78,461000,,Brisbane Lions
Will Hayward,55.77,451000,,Sydney Swans
Oscar McInerney,55.76,387000,,Brisbane Lions
Kayne Turner,55.76,350000,,North Melbourne Kangaroos
Joshua Wagner,55.42,,,Melbourne Demons
Marley Williams,55.41,389000,,North Melbourne Kangaroos
Aaron Francis,55.29,401000,,Essendon Bombers
Tarryn Thomas,55.25,256000,,North Melbourne Kangaroos
Colin O'Riordan,55.25,363000,,Sydney Swans
Bailey Banfield,55.14,466000,,Fremantle Dockers
Lachlan Murphy,55.1,358000,,Adeliade Crows
Daniel Lloyd,55.06,423000,,Greater Western Sydney Giants
Daniel Rioli,55,480000,,Richmond Tigers
Oskar Baker,55,170000,,Melbourne Demons
Jayden Hunt,54.95,463000,,Melbourne Demons
Orazio Fantasia,54.93,577000,,Essendon Bombers
Wil Powell,54.92,267000,,Gold Coast Suns
Joshua Kennedy,54.77,,,West Coast Eagles
Paul Puopolo,54.73,430000,,Hawthorn Hawks
Charlie Ballard,54.48,315000,,Gold Coast Suns
Mabior Chol,54.33,170000,,Richmond Tigers
Brett Bewley,54.29,170000,,Fremantle Dockers
Dougal Howard,54.27,349000,,Port Adelaide Power
Harris Andrews,54.14,487000,,Brisbane Lions
Dylan Moore,54.14,170000,,Hawthorn Hawks
David Myers,54.14,567000,,Essendon Bombers
Noah Answerth,54.11,170000,,Brisbane Lions
Tom Barrass,54,423000,,West Coast Eagles
Josh Schache,54,419000,,Western Bulldogs
Jeff Garlett,53.86,428000,,Melbourne Demons
Nick Larkey,53.82,170000,,North Melbourne Kangaroos
Corey Wagner,53.73,170000,,Melbourne Demons
Jordan Roughead,53.71,489000,,Collingwood Magpies
Travis Varcoe,53.69,363000,,Collingwood Magpies
Harry Morrison,53.67,481000,,Hawthorn Hawks
Lachlan Henderson,53.67,,,Geelong Cats
Tom Atkins,53.61,170000,,Geelong Cats
Paddy Dow,53.53,403000,,Carlton Blues
Luke Davies-Uniacke,53.21,266000,,North Melbourne Kangaroos
Matthew Parker,53.12,178000,,St Kilda Saints
Lochie O'Brien,53.06,398000,,Carlton Blues
Jake Carlisle,52.9,518000,,St Kilda Saints
Matthew Buntine,52.89,,,Greater Western Sydney Giants
Sean Lemmens,52.88,337000,,Gold Coast Suns
Joshua Deluca,52.83,,,Carlton Blues
Ben Long,52.81,359000,,St Kilda Saints
Jordan Gallucci,52.5,400000,,Adeliade Crows
Sam Frost,52.45,353000,,Melbourne Demons
Robbie Fox,52.36,334000,,Sydney Swans
Jack Lukosius,52.33,268000,,Gold Coast Suns
Roarke Smith,52.2,290000,,Western Bulldogs
Nathan Hrovat,52,371000,,North Melbourne Kangaroos
Todd Marshall,51.9,314000,,Port Adelaide Power
Joshua Begley,51.75,,,Essendon Bombers
Oliver Hanrahan,51.67,170000,,Hawthorn Hawks
Matthew Scharenberg,51.57,532000,,Collingwood Magpies
Daniel McStay,51.54,380000,,Brisbane Lions
Mason Cox,51.5,423000,,Collingwood Magpies
Sam Weideman,51.36,348000,,Melbourne Demons
Jack Petruccelle,51.05,170000,,West Coast Eagles
Esava Ratugolea,51.05,336000,,Geelong Cats
Ben Reid,51,443000,,Collingwood Magpies
Conor Glass,50.86,315000,,Hawthorn Hawks
Brayden Sier,50.67,515000,,Collingwood Magpies
Griffin Logue,50.5,216000,,Fremantle Dockers
Brayden Ham,50.4,170000,,Essendon Bombers
Ed Richards,50.3,386000,,Western Bulldogs
Cameron Sutcliffe,50.2,,,Port Adelaide Power
Nathan Vardy,50.18,435000,,West Coast Eagles
Jarrod Cameron,50,194000,,West Coast Eagles
Isaac Cumming,49.8,204000,,Greater Western Sydney Giants
Lewis Young,49.8,286000,,Western Bulldogs
James Frawley,49.78,394000,,Hawthorn Hawks
Nick Blakey,49.33,252000,,Sydney Swans
Harrison Petty,49.3,239000,,Melbourne Demons
Mark Hutchings,49.11,559000,,West Coast Eagles
Kyle Dunkley,49,,,Melbourne Demons
Aidan Corr,48.88,316000,,Greater Western Sydney Giants
Mitch McGovern,48.81,516000,,Carlton Blues
Charlie Spargo,48.75,428000,,Melbourne Demons
Jake Kolodjashnij,48.74,361000,,Geelong Cats
Ian Hill,48.62,224000,,Greater Western Sydney Giants
Ben Ronke,48.54,470000,,Sydney Swans
Tom McCartin,48.53,320000,,Sydney Swans
Jed Bews,48.5,318000,,Geelong Cats
Daniel Butler,48.43,413000,,Richmond Tigers
Daniel Menzel,48.43,441000,,Sydney Swans
Matthew Kennedy,48.4,467000,,Carlton Blues
Kieren Jack,48.38,427000,,Sydney Swans
Samuel Collins,48.33,246000,,Gold Coast Suns
Nick Hind,48.27,170000,,St Kilda Saints
Mark Baguley,48.1,456000,,Essendon Bombers
Gary Rohan,47.89,315000,,Geelong Cats
Brennan Cox,47.75,434000,,Fremantle Dockers
Noah Balta,47.62,170000,,Richmond Tigers
Jackson Nelson,47.46,292000,,West Coast Eagles
Lachlan Schultz,47.43,170000,,Fremantle Dockers
Lachie Young,47.17,,,Western Bulldogs
Easton Wood,47.04,409000,,Western Bulldogs
Nathan Broad,47,333000,,Richmond Tigers
George Horlin-Smith,46.71,438000,,Gold Coast Suns
Zac Bailey,46.6,376000,,Brisbane Lions
Joel Hamling,46.5,404000,,Fremantle Dockers
Marcus Adams,46.5,466000,,Brisbane Lions
Jack Henry,46.43,392000,,Geelong Cats
Jake Stein,46.4,170000,,Greater Western Sydney Giants
Michael Rischitelli,46.14,322000,,Gold Coast Suns
Cameron Rayner,45.88,426000,,Brisbane Lions
Darcy Lang,45.88,466000,,Carlton Blues
Patrick Ambrose,45.7,331000,,Essendon Bombers
Chayce Jones,45.62,254000,,Adeliade Crows
Ryan Nyhuis,45.6,367000,,Fremantle Dockers
Jacob Heron,45.4,246000,,Gold Coast Suns
