Bayley Fritsch,57.94,551000,Defender,Melbourne Demons,0,0.00010515426497277677
Lachlan Henderson,57.93,424000,Defender,Geelong Cats,0,0.00013662735849056604
Jackson Hately,57.83,456000,Midfield,Greater Western Sydney Giants,10,0.0001268201754385965
Shane Edwards,57.7,549000,Defender,Richmond Tigers,0,0.00010510018214936248
Sam Mayes,57.67,300000,Midfield,Port Adelaide Power,0,0.00019223333333333333
Peter Ladhams,57.6,414000,Ruck,Port Adelaide Power,0,0.0001391304347826087
Michael Hibberd,57.57,455000,Defender,Melbourne Demons,4,0.00012652747252747253
Sam Powell-Pepper,57.53,559000,Midfield,Port Adelaide Power,0,0.00010291592128801432
Patrick Lipinski,57.46,634000,Midfield,Western Bulldogs,0,9.063091482649843e-05
Reece Conca,57.43,554000,Midfield,Fremantle Dockers,0,0.00010366425992779783
Jordan De Goey,57.2,626000,Forward,Collingwood Magpies,0,9.137380191693292e-05
Jack Newnes,57.18,517000,Midfield,Carlton Blues,0,0.00011059961315280464
Brett Bewley,57.08,367000,Forward,Fremantle Dockers,17,0.00015553133514986377
Nick Vlastuin,57.05,585000,Defender,Richmond Tigers,0,9.752136752136752e-05
Dylan Stephens,57.0,262000,Midfield,Sydney Swans,6,0.00021755725190839695
Rupert Wills,57.0,458000,Midfield,Collingwood Magpies,0,0.00012445414847161572
Jackson Nelson,56.93,358000,Defender,West Coast Eagles,0,0.00015902234636871508
Charlie Dixon,56.89,513000,Forward,Port Adelaide Power,0,0.00011089668615984406
Daniel Hannebery,56.88,622000,Midfield,St Kilda Saints,4,9.144694533762058e-05
Jeremy McGovern,56.83,511000,Defender,West Coast Eagles,0,0.0001112133072407045
Mitch Robinson,56.79,695000,Midfield,Brisbane Lions,0,8.171223021582734e-05
Rory Lobb,56.76,588000,Ruck,Fremantle Dockers,0,9.653061224489795e-05
Liam Ryan,56.56,422000,Forward,West Coast Eagles,2,0.00013402843601895736
Xavier Duursma,56.53,581000,Midfield,Port Adelaide Power,0,9.729776247848537e-05
Jamie Elliott,56.5,502000,Forward,Collingwood Magpies,0,0.00011254980079681275
Luke Davies-Uniacke,56.44,395000,Midfield,North Melbourne Kangaroos,0,0.00014288607594936708
Bradley Hill,56.42,658000,Midfield,St Kilda Saints,3,8.574468085106383e-05
James Rowbottom,56.12,469000,Midfield,Sydney Swans,1,0.00011965884861407248
Liam Baker,56.05,510000,Defender,Richmond Tigers,0,0.00010990196078431372
Gary Ablett,56.0,658000,Forward,Geelong Cats,0,8.510638297872341e-05
Mitchell Brown,55.8,508000,Defender,Melbourne Demons,1,0.00010984251968503937
Brayden Fiorini,55.8,740000,Midfield,Gold Coast Suns,0,7.54054054054054e-05
Jackson Thurlow,55.75,461000,Defender,Sydney Swans,0,0.00012093275488069414
Heath Shaw,55.59,612000,Defender,Greater Western Sydney Giants,0,9.083333333333334e-05
Christopher Mayne,55.36,577000,Midfield,Collingwood Magpies,0,9.594454072790294e-05
Connor Rozee,55.31,539000,Forward,Port Adelaide Power,8,0.00010261595547309834
Jasper Pittard,55.18,531000,Defender,North Melbourne Kangaroos,0,0.00010391713747645951
Kamdyn Mcintosh,55.17,468000,Midfield,Richmond Tigers,0,0.00011788461538461539
Luke Breust,55.08,506000,Forward,Hawthorn Hawks,0,0.00010885375494071146
David Zaharakis,54.9,590000,Midfield,Essendon Bombers,0,9.305084745762712e-05
Sam Simpson,54.89,170000,Midfield,Geelong Cats,0,0.0003228823529411765
Oscar Allen,54.8,424000,Forward,West Coast Eagles,0,0.00012924528301886792
Marc Pittonet,54.69,305000,Ruck,Carlton Blues,0,0.00017931147540983607
Will Snelling,54.59,420000,Forward,Essendon Bombers,2,0.00012997619047619047
Shaun Atley,54.53,496000,Defender,North Melbourne Kangaroos,0,0.00010993951612903226
Justin Westhoff,54.42,574000,Midfield,Port Adelaide Power,4,9.480836236933798e-05
Charlie Cameron,54.37,499000,Forward,Brisbane Lions,17,0.00010895791583166332
Jye Caldwell,54.22,310000,Midfield,Greater Western Sydney Giants,0,0.0001749032258064516
Jamie Cripps,54.21,476000,Forward,West Coast Eagles,19,0.00011388655462184875
Jack Darling,54.17,529000,Forward,West Coast Eagles,0,0.0001024007561436673
Sam Petrevski-Seton,54.12,577000,Defender,Carlton Blues,0,9.379549393414211e-05
Tim Membrey,53.89,523000,Forward,St Kilda Saints,0,0.00010304015296367112
Mitchell Hibberd,53.8,197000,Midfield,Essendon Bombers,4,0.0002730964467005076
Jack Sinclair,53.75,493000,Midfield,St Kilda Saints,2,0.000109026369168357
Ivan Soldo,53.57,538000,Ruck,Richmond Tigers,0,9.957249070631971e-05
Levi Casboult,53.53,485000,Defender,Carlton Blues,1,0.00011037113402061855
Zac Fisher,53.5,469000,Midfield,Carlton Blues,0,0.00011407249466950959
Toby McLean,53.17,506000,Forward,Western Bulldogs,0,0.00010507905138339922
Jake Carlisle,53.15,393000,Defender,St Kilda Saints,0,0.00013524173027989821
Jason Castagna,53.0,511000,Forward,Richmond Tigers,0,0.00010371819960861056
Callan Ward,53.0,539000,Midfield,Greater Western Sydney Giants,1,9.833024118738405e-05
Tom Green,52.67,252000,Midfield,Greater Western Sydney Giants,31,0.0002090079365079365
Shane McAdam,52.62,170000,Forward,Adeliade Crows,0,0.0003095294117647059
David Astbury,52.56,416000,Defender,Richmond Tigers,0,0.00012634615384615386
Dane Rampe,52.45,589000,Defender,Sydney Swans,0,8.904923599320883e-05
Harry Morrison,52.36,477000,Midfield,Hawthorn Hawks,0,0.00010976939203354297
Trent Rivers,52.22,208000,Defender,Melbourne Demons,5,0.0002510576923076923
Jake Waterman,52.2,456000,Forward,West Coast Eagles,0,0.00011447368421052632
Darcy Fort,52.2,321000,Forward,Geelong Cats,0,0.00016261682242990654
Callum Ah Chee,52.11,345000,Midfield,Brisbane Lions,0,0.00015104347826086956
Luke Dahlhaus,52.0,574000,Forward,Geelong Cats,0,9.059233449477352e-05
Jack Lonie,51.92,493000,Forward,St Kilda Saints,0,0.00010531440162271806
Isaac Quaynor,51.91,370000,Defender,Collingwood Magpies,0,0.0001402972972972973
Conor McKenna,51.83,522000,Defender,Essendon Bombers,0,9.929118773946359e-05
David MacKay,51.8,486000,Defender,Adeliade Crows,0,0.00010658436213991768
Marlion Pickett,51.79,170000,Midfield,Richmond Tigers,72,0.0003046470588235294
Josh Battle,51.79,508000,Defender,St Kilda Saints,1,0.00010194881889763779
Nathan Wilson,51.73,481000,Defender,Fremantle Dockers,0,0.00010754677754677754
Adam Tomlinson,51.69,574000,Midfield,Melbourne Demons,0,9.005226480836237e-05
Sean Darcy,51.67,511000,Ruck,Fremantle Dockers,8,0.00010111545988258317
Cameron Rayner,51.53,334000,Forward,Brisbane Lions,0,0.0001542814371257485
Daniel Rioli,51.5,417000,Forward,Richmond Tigers,0,0.00012350119904076738
Ethan Hughes,51.47,431000,Defender,Fremantle Dockers,0,0.0001194199535962877
Grant Birchall,51.31,428000,Defender,Brisbane Lions,2,0.00011988317757009347
Connor Blakely,51.2,555000,Defender,Fremantle Dockers,1,9.225225225225226e-05
Jeremy Cameron,51.12,649000,Forward,Greater Western Sydney Giants,17,7.876733436055469e-05
Darcy Moore,51.06,409000,Defender,Collingwood Magpies,0,0.00012484107579462103
Ryan Lester,51.0,457000,Defender,Brisbane Lions,0,0.00011159737417943107
Josh Caddy,51.0,523000,Midfield,Richmond Tigers,0,9.751434034416826e-05
Jack Ross,50.71,419000,Midfield,Richmond Tigers,6,0.00012102625298329356
Tom Cutler,50.62,496000,Midfield,Essendon Bombers,1,0.00010205645161290322
Sam Draper,50.62,170000,Ruck,Essendon Bombers,0,0.00029776470588235295
Josh Rotham,50.5,336000,Defender,West Coast Eagles,0,0.00015029761904761905
George Hewett,50.5,559000,Midfield,Sydney Swans,0,9.033989266547405e-05
Justin Mcinerney,50.44,170000,Midfield,Sydney Swans,3,0.00029670588235294117
David Cuningham,50.42,477000,Forward,Carlton Blues,0,0.00010570230607966457
Lachlan Schultz,50.41,320000,Forward,Fremantle Dockers,16,0.00015753124999999998
Aidan Corr,50.33,265000,Defender,Greater Western Sydney Giants,1,0.00018992452830188678
Stephen Hill,50.25,428000,Defender,Fremantle Dockers,3,0.00011740654205607477
Elliott Himmelberg,50.09,439000,Forward,Adeliade Crows,0,0.0001141002277904328
Eric Hipwood,50.05,424000,Forward,Brisbane Lions,0,0.00011804245283018868
Ben McEvoy,50.0,618000,Ruck,Hawthorn Hawks,0,8.090614886731392e-05
Jeremy Finlayson,50.0,525000,Forward,Greater Western Sydney Giants,0,9.523809523809524e-05
Jarrod Brander,49.88,217000,Defender,West Coast Eagles,41,0.00022986175115207374
Wil Powell,49.8,407000,Midfield,Gold Coast Suns,0,0.00012235872235872235
Will Hoskin-Elliott,49.78,559000,Forward,Collingwood Magpies,0,8.905187835420394e-05
Trent McKenzie,49.76,390000,Defender,Port Adelaide Power,0,0.00012758974358974357
James Harmes,49.69,698000,Midfield,Melbourne Demons,0,7.1189111747851e-05
Alex Sexton,49.57,435000,Forward,Gold Coast Suns,0,0.00011395402298850575
